Year,Persons killed,Seriously injured,Slightly injured,Kind of accident,Area type
2008,288,6797,18293,Driving accident,inner town
2009,294,6719,18346,Driving accident,inner town
2010,251,5864,16825,Driving accident,inner town
2011,244,6459,16602,Driving accident,inner town
2012,221,6177,16626,Driving accident,inner town
2013,194,6056,16268,Driving accident,inner town
2014,191,6173,16384,Driving accident,inner town
2015,211,6049,16530,Driving accident,inner town
2016,204,6204,17563,Driving accident,inner town
2017,207,6138,17428,Driving accident,inner town
2018,211,6395,18873,Driving accident,inner town
2019,218,6478,19444,Driving accident,inner town
2020,173,6984,20226,Driving accident,inner town
2021,168,7377,24416,Driving accident,inner town
2022,199,7007,24416,Driving accident,inner town
2008,1169,10490,19128,Driving accident,out of town
2009,1114,10396,19519,Driving accident,out of town
2010,965,9113,18449,Driving accident,out of town
2011,1073,9827,17732,Driving accident,out of town
2012,894,9409,17049,Driving accident,out of town
2013,817,9067,16907,Driving accident,out of town
2014,816,9014,15631,Driving accident,out of town
2015,785,9056,16137,Driving accident,out of town
2016,733,8727,16064,Driving accident,out of town
2017,729,8396,16081,Driving accident,out of town
2018,730,8640,15278,Driving accident,out of town
2019,676,78245,14637,Driving accident,out of town
2020,676,7986,13919,Driving accident,out of town
2021,569,7532,14566,Driving accident,out of town
2022,628,7510,14843,Driving accident,out of town
2008,121,5071,30316,Turning accident,inner town
2009,113,4679,29154,Turning accident,inner town
2010,109,4357,25943,Turning accident,inner town
2011,113,5210,29163,Turning accident,inner town
2012,113,4982,28601,Turning accident,inner town
2013,121,4731,27793,Turning accident,inner town
2014,105,5085,28956,Turning accident,inner town
2015,132,5001,29182,Turning accident,inner town
2016,115,5026,28724,Turning accident,inner town
2017,115,4922,28213,Turning accident,inner town
2018,130,5132,29329,Turning accident,inner town
2019,100,4744,28151,Turning accident,inner town
2020,110,4018,24327,Turning accident,inner town
2021,92,3558,22495,Turning accident,inner town
2022,90,3911,25812,Turning accident,inner town
2008,128,2035,6383,Turning accident,out of town
2009,126,2019,6107,Turning accident,out of town
2010,103,1769,5677,Turning accident,out of town
2011,127,2103,6184,Turning accident,out of town
2012,103,1976,5825,Turning accident,out of town
2013,99,1897,5712,Turning accident,out of town
2014,91,2045,5973,Turning accident,out of town
2015,123,2019,5981,Turning accident,out of town
2016,104,2135,5894,Turning accident,out of town
2017,115,2100,5865,Turning accident,out of town
2018,104,2230,6010,Turning accident,out of town
2019,109,2135,5796,Turning accident,out of town
2020,103,2024,5086,Turning accident,out of town
2021,79,1758,5136,Turning accident,out of town
2022,95,1751,5456,Turning accident,out of town
2008,181,8296,51988,Crossing accident,inner town
2009,162,7951,49444,Crossing accident,inner town
2010,149,7123,44452,Crossing accident,inner town
2011,174,8240,48459,Crossing accident,inner town
2012,149,7605,46964,Crossing accident,inner town
2013,137,7120,44808,Crossing accident,inner town
2014,164,7891,47139,Crossing accident,inner town
2015,150,7827,46692,Crossing accident,inner town
2016,134,7742,47269,Crossing accident,inner town
2017,150,7380,46220,Crossing accident,inner town
2018,135,7642,46806,Crossing accident,inner town
2019,129,7059,45439,Crossing accident,inner town
2020,116,6153,39171,Crossing accident,inner town
2021,95,5721,37928,Crossing accident,inner town
2022,141,5867,42910,Crossing accident,inner town
2008,336,3569,9504,Crossing accident,out of town
2009,302,3357,9150,Crossing accident,out of town
2010,270,3001,8491,Crossing accident,out of town
2011,279,3366,9326,Crossing accident,out of town
2012,278,3213,8900,Crossing accident,out of town
2013,222,3108,8610,Crossing accident,out of town
2014,253,3282,8982,Crossing accident,out of town
2015,239,3236,8862,Crossing accident,out of town
2016,234,3244,8948,Crossing accident,out of town
2017,227,3415,8657,Crossing accident,out of town
2018,233,3427,8894,Crossing accident,out of town
2019,215,3285,8936,Crossing accident,out of town
2020,191,2829,7735,Crossing accident,out of town
2021,212,2716,7732,Crossing accident,out of town
2022,204,2710,8202,Crossing accident,out of town
